trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
15126077,05:30:00,05:30:00,6867,0,0,0
15126077,05:30:00,05:30:00,6734,1,0,0
15126077,05:32:00,05:32:00,6102,2,0,0
15126077,05:32:00,05:32:00,6537,3,0,0
15126077,05:33:00,05:33:00,6172,4,0,0
15126077,05:34:00,05:34:00,6168,5,0,0
15126077,05:34:00,05:34:00,6394,6,0,0
15126077,05:35:00,05:35:00,6165,7,0,0
15126077,05:35:00,05:35:00,6167,8,0,0
15126077,05:36:00,05:36:00,6170,9,0,0
15126077,05:37:00,05:37:00,6171,10,0,0
15126077,05:38:00,05:38:00,6174,11,0,0
15126077,05:39:00,05:39:00,6493,12,0,0
15126077,05:40:00,05:40:00,6521,13,0,0
15126077,05:40:00,05:40:00,6522,14,0,0
15126077,05:41:00,05:41:00,6523,15,0,0
15126077,05:41:00,05:41:00,6525,16,0,0
15126077,05:42:00,05:42:00,6527,17,0,0
15126077,05:42:00,05:42:00,6530,18,0,0
15126077,05:43:00,05:43:00,6532,19,0,0
15126077,05:43:00,05:43:00,6702,20,0,0
15126077,05:44:00,05:44:00,6512,21,0,0
15126077,05:44:00,05:44:00,6514,22,0,0
15126077,05:46:00,05:46:00,6179,23,0,0
15126077,05:47:00,05:47:00,6182,24,0,0
15126077,05:50:00,05:50:00,6884,25,0,0
15126077,05:53:00,05:53:00,7843,26,0,0
15126077,05:55:00,05:55:00,7844,27,0,0
15126077,06:00:00,06:00:00,7845,28,0,0
15126077,06:03:00,06:03:00,6883,29,0,0
15126077,06:05:00,06:05:00,6180,30,0,0
15126077,06:06:00,06:06:00,6181,31,0,0
15126077,06:08:00,06:08:00,6178,32,0,0
15126077,06:10:00,06:10:00,6517,33,0,0
15126077,06:11:00,06:11:00,6518,34,0,0
15126077,06:12:00,06:12:00,6519,35,0,0
15126077,06:13:00,06:13:00,6173,36,0,0
15126077,06:15:00,06:15:00,6370,37,0,0
15126077,06:17:00,06:17:00,6896,38,0,0
15126077,06:19:00,06:19:00,6539,39,0,0
15126077,06:19:00,06:19:00,6895,40,0,0
15126077,06:20:00,06:20:00,6371,41,0,0
15126077,06:21:00,06:21:00,6372,42,0,0
15126077,06:21:00,06:21:00,6894,43,0,0
15126077,06:22:00,06:22:00,6345,44,0,0
15126077,06:23:00,06:23:00,6733,45,0,0
15126077,06:25:00,06:25:00,6867,46,0,0
15126078,05:30:00,05:30:00,6867,0,0,0
15126078,05:31:00,05:31:00,6734,1,0,0
15126078,05:32:00,05:32:00,6102,2,0,0
15126078,05:33:00,05:33:00,6537,3,0,0
15126078,05:33:00,05:33:00,6172,4,0,0
15126078,05:35:00,05:35:00,6168,5,0,0
15126078,05:35:00,05:35:00,6394,6,0,0
15126078,05:36:00,05:36:00,6540,7,0,0
