route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
15070012,6,19A,Leontiou EMEL Station - Trachoni - Akrotiri,,3,1C8600,FFFFFF
15080011,6,25A,Armenochori - Agios Tychonas - Leontiou EMEL Station,,3,2B6B00,FFFFFF
15080012,6,25A,Leontiou EMEL Station - Agios Tychonas - Armenochori,,3,2B6B00,FFFFFF
15080021,6,25A,Armenochori - Linopetra High School & Lyceum - Leontiou EMEL Station,,3,2B6B00,FFFFFF
15080022,6,25A,Armenochori - Linopetra High School & Lyceum - Leontiou EMEL Station,,3,2B6B00,FFFFFF
15080031,6,25A,Armenochori - Agios Tychonas - Enaerios - Leontiou EMEL Station,,3,2B6B00,FFFFFF
15080032,6,25A,Leontiou EMEL Station - Enaerios - Agios Tychonas - Armenochori,,3,2B6B00,FFFFFF
15100011,6,30N,My Mall - New Port - Parklane Hotel,,3,C4E112,000000
15100012,6,30N,Parklane Hotel - New Port - My Mall,,3,C4E112,000000
15110011,6,90A,Lemesos - Moni - Pentakomo,,3,0080FF,FFFFFF
15110012,6,90A,Pentakomo - Moni - Lemesos,,3,0080FF,FFFFFF
15110021,6,90A,Pentakomo - Moni - Lemesos,,3,0080FF,FFFFFF
15110022,6,90A,Lemesos - Moni - Pentakomo,,3,0080FF,FFFFFF
15120011,6,95A,Lemesos - Governors Beach,,3,004080,FFFFFF
15120012,6,95A,Governors Beach - Lemesos,,3,004080,FFFFFF
15140011,6,13B,Foinikaria - Germasogia - Leontiou EMEL Station,,3,004080,FFFFFF
15140012,6,13B,Leontiou EMEL Station - Germasogia - Foinikaria,,3,004080,FFFFFF
15150011,6,13E,Foinikaria - Akrounta - Germasogia - Leontiou EMEL Station,,3,408080,FFFFFF
15150012,6,13E,Leontiou EMEL Station - Germasogia - Foinikaria - Akrounta,,3,408080,FFFFFF
15220011,6,14B,Mathikoloni - Agios Athanasios - Leontiou EMEL Station,,3,FF8040,000000
15220012,6,14B,Leontiou EMEL Station - Agios Athanasios - Mathikoloni,,3,FF8040,000000
15240011,6,32B,Apollonia student halls - Old Market - TEPAK,,3,004080,FFFFFF
15240012,6,32B,Old Market - TEPAK - Apollonia student halls,,3,004080,FFFFFF
15250011,6,40A,Agios Nikolaos - Arsos - Malia,,3,FF8040,000000
15250012,6,40A,Malia - Arsos - Agios Nikolaos,,3,FF8040,000000
15250021,6,40A,Agios Nikolaos - Arsos - Malia - Vasa - Malia,,3,FF8040,000000
15250022,6,40A,Malia - Vasa - Malia - Arsos - Agios Nikolaos,,3,FF8040,000000
15260011,6,40B,Dora - Malia,,3,0080C0,FFFFFF
15260012,6,40B,Malia - Dora,,3,0080C0,FFFFFF
15260021,6,40B,Dora - Malia - Potamiou - Malia,,3,0080C0,FFFFFF
