fare_id,route_id,origin_id,destination_id
211,10030011,,
211,10030012,,
211,10040011,,
211,10040012,,
211,10040021,,
211,10040022,,
211,10050021,,
211,10050022,,
211,10070011,,
211,10070012,,
211,10090011,,
211,10090012,,
211,10090022,,
211,10110011,,
211,10110012,,
211,10120011,,
211,10120012,,
211,10130011,,
211,10130012,,
211,10140011,,
211,10140012,,
211,10150011,,
211,10150012,,
211,10160021,,
211,10160022,,
211,10170011,,
211,10170012,,
211,10180021,,
211,10180022,,
211,10190011,,
211,10190012,,
211,10200011,,
211,10200012,,
211,10210011,,
211,10210012,,
211,10230011,,
211,10230012,,
211,10230021,,
211,10240011,,
211,10240012,,
211,10250011,,
211,10250012,,
211,10250021,,
211,10250022,,
211,10260011,,
211,10260012,,
211,10260021,,
211,10260022,,
211,10270011,,
211,10270012,,
211,10270021,,
211,10270022,,
211,10300011,,
211,10300012,,
211,10300021,,
211,10300031,,
211,10320011,,
211,10330011,,
211,10330012,,
211,10350011,,
211,10350012,,
221,10400011,,
221,10400012,,
221,10400021,,
221,10400022,,
221,10400031,,
221,10400032,,
221,10500011,,
221,10500012,,
221,10600011,,
221,10600012,,
221,10600021,,
221,10600022,,
221,10600031,,
221,10600041,,
221,10600042,,
221,10610011,,
221,10610012,,
221,10620011,,
221,10620012,,
221,10640011,,
221,10640012,,
221,10650011,,
221,10650012,,
221,10650021,,
221,10650022,,
221,10660011,,
221,10660012,,
221,10700011,,
221,10700012,,
221,10710011,,
221,10710012,,
221,10800011,,
221,10800012,,
221,10900011,,
221,10900012,,
221,10910011,,
221,10910012,,
221,10950011,,
221,10950012,,
221,10960011,,
221,10960012,,
211,15030011,,
211,15030012,,
211,15040011,,
211,15070011,,
211,15070012,,
211,15080011,,
211,15080012,,
211,15080021,,
211,15080022,,
211,15080031,,
211,15080032,,
211,15100011,,
211,15100012,,
221,15110011,,
221,15110012,,
221,15110021,,
221,15110022,,
221,15120011,,
221,15120012,,
211,15140011,,
211,15140012,,
211,15150011,,
211,15150012,,
211,15220011,,
211,15220012,,
211,15240011,,
211,15240012,,
221,15250011,,
221,15250012,,
221,15250021,,
221,15250022,,
221,15260011,,
221,15260012,,
221,15260021,,
221,15260022,,
221,15270011,,
221,15270012,,
221,15280011,,
221,15280012,,
221,15280021,,
221,15280022,,
221,15290011,,
221,15300011,,
221,15300021,,
221,15300022,,
221,15310011,,
221,15310012,,
221,15320011,,
221,15320012,,
221,15330011,,
221,15330012,,
221,15340011,,
221,15340012,,
221,15350011,,
221,15350012,,
221,15350021,,
221,15350022,,
221,15360011,,
221,15360012,,
221,15360022,,
221,15370011,,
221,15370012,,
221,15380011,,
221,15380012,,
221,15390011,,
221,15390012,,
221,15400011,,
221,15400012,,
221,15410011,,
221,15410012,,
221,15420011,,
221,15420012,,
221,15430011,,
221,15430012,,
221,15440011,,
221,15440012,,
221,15460011,,
221,15460012,,
221,15470011,,
221,15470012,,
221,15480011,,
221,15480012,,
221,15490011,,
221,15490012,,
221,15500011,,
221,15500012,,
221,15510011,,
221,15510012,,
221,15520011,,
221,15520012,,
221,15530011,,
221,15530012,,
221,15540011,,
221,15540012,,
221,15550011,,
221,15550012,,
221,15560011,,
221,15560012,,
221,15580011,,
221,15580012,,
221,15590011,,
221,15590012,,
221,15600011,,
221,15600012,,
221,15610011,,
221,15610012,,
221,15620011,,
221,15620012,,
221,15630011,,
221,15630012,,
221,15640011,,
221,15640012,,
221,15650011,,
221,15650012,,
221,15660011,,
221,15660012,,
221,15670011,,
221,15670012,,
221,15680011,,
221,15680012,,
221,15690011,,
221,15690012,,
221,15700011,,
221,15700012,,
221,15710011,,
221,15710012,,
221,15720011,,
221,15720012,,
221,15740011,,
221,15740012,,
221,15750011,,
221,15750012,,
211,15760011,,
211,15760012,,
211,15760021,,
211,15760022,,
221,15770011,,
211,15780011,,
211,15780021,,
211,15790011,,
211,15790012,,
