fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
741_5000_340_1352,8,EUR,0,0,5,
741_5000_340_1910,8,EUR,0,0,5,
741_5000_340_2753,8,EUR,0,0,5,
741_5000_340_4026,8,EUR,0,0,5,
741_5000_340_4865,8,EUR,0,0,5,
741_5000_340_7060,8,EUR,0,0,5,
741_5000_340_7078,8,EUR,0,0,5,
741_5000_340_7090,8,EUR,0,0,5,
741_5000_340_7194,8,EUR,0,0,5,
741_5000_340_7525,8,EUR,0,0,5,
741_5000_340_7973,8,EUR,0,0,5,
741_5000_1297_1,8,EUR,0,0,5,
741_5000_1297_323,8,EUR,0,0,5,
741_5000_1297_324,8,EUR,0,0,5,
741_5000_1297_325,8,EUR,0,0,5,
741_5000_1297_326,8,EUR,0,0,5,
741_5000_1297_332,8,EUR,0,0,5,
741_5000_1297_333,8,EUR,0,0,5,
741_5000_1297_337,8,EUR,0,0,5,
741_5000_1297_338,8,EUR,0,0,5,
741_5000_1297_339,8,EUR,0,0,5,
741_5000_1297_340,8,EUR,0,0,5,
741_5000_1297_1303,8,EUR,0,0,5,
741_5000_1297_1352,8,EUR,0,0,5,
741_5000_1297_1910,8,EUR,0,0,5,
741_5000_1297_1975,8,EUR,0,0,5,
741_5000_1297_2004,8,EUR,0,0,5,
741_5000_1297_2751,8,EUR,0,0,5,
741_5000_1297_2753,8,EUR,0,0,5,
741_5000_1297_4026,5,EUR,0,0,5,
741_5000_1297_4865,5,EUR,0,0,5,
741_5000_1297_7060,8,EUR,0,0,5,
741_5000_1297_7073,8,EUR,0,0,5,
741_5000_1297_7074,8,EUR,0,0,5,
741_5000_1297_7078,8,EUR,0,0,5,
741_5000_1297_7090,8,EUR,0,0,5,
741_5000_1297_7194,8,EUR,0,0,5,
741_5000_1297_7525,8,EUR,0,0,5,
741_5000_1297_7973,8,EUR,0,0,5,
741_5000_1303_1,8,EUR,0,0,5,
741_5000_1303_324,8,EUR,0,0,5,
741_5000_1303_326,8,EUR,0,0,5,
741_5000_1303_332,8,EUR,0,0,5,
741_5000_1303_333,8,EUR,0,0,5,
741_5000_1303_337,8,EUR,0,0,5,
741_5000_1303_338,8,EUR,0,0,5,
741_5000_1303_339,8,EUR,0,0,5,
741_5000_1303_340,8,EUR,0,0,5,
741_5000_1303_1352,8,EUR,0,0,5,
741_5000_1303_1910,8,EUR,0,0,5,
741_5000_1303_2753,8,EUR,0,0,5,
741_5000_1303_4026,8,EUR,0,0,5,
741_5000_1303_4865,8,EUR,0,0,5,
741_5000_1303_7060,8,EUR,0,0,5,
741_5000_1303_7073,8,EUR,0,0,5,
741_5000_1303_7074,8,EUR,0,0,5,
741_5000_1303_7078,8,EUR,0,0,5,
741_5000_1303_7090,8,EUR,0,0,5,
741_5000_1303_7194,8,EUR,0,0,5,
741_5000_1303_7525,8,EUR,0,0,5,
741_5000_1303_7973,8,EUR,0,0,5,
741_5000_1352_1,8,EUR,0,0,5,
741_5000_1352_324,8,EUR,0,0,5,
741_5000_1352_1910,8,EUR,0,0,5,
741_5000_1352_2753,8,EUR,0,0,5,
741_5000_1352_4026,8,EUR,0,0,5,
741_5000_1910_1,8,EUR,0,0,5,
741_5000_1910_2753,8,EUR,0,0,5,
741_5000_1975_1,8,EUR,0,0,5,
741_5000_1975_323,8,EUR,0,0,5,
741_5000_1975_324,8,EUR,0,0,5,
741_5000_1975_325,8,EUR,0,0,5,
741_5000_1975_326,8,EUR,0,0,5,
741_5000_1975_332,8,EUR,0,0,5,
741_5000_1975_333,8,EUR,0,0,5,
741_5000_1975_337,8,EUR,0,0,5,
741_5000_1975_338,8,EUR,0,0,5,
741_5000_1975_339,8,EUR,0,0,5,
741_5000_1975_340,8,EUR,0,0,5,
741_5000_1975_1303,8,EUR,0,0,5,
741_5000_1975_1352,8,EUR,0,0,5,
741_5000_1975_1910,8,EUR,0,0,5,
741_5000_1975_2004,8,EUR,0,0,5,
741_5000_1975_2753,8,EUR,0,0,5,
741_5000_1975_4026,8,EUR,0,0,5,
741_5000_1975_4865,8,EUR,0,0,5,
741_5000_1975_7060,8,EUR,0,0,5,
741_5000_1975_7073,8,EUR,0,0,5,
741_5000_1975_7074,8,EUR,0,0,5,
741_5000_1975_7078,8,EUR,0,0,5,
741_5000_1975_7090,8,EUR,0,0,5,
741_5000_1975_7194,8,EUR,0,0,5,
741_5000_1975_7525,8,EUR,0,0,5,
741_5000_1975_7973,8,EUR,0,0,5,
741_5000_2004_1,8,EUR,0,0,5,
741_5000_2004_324,8,EUR,0,0,5,
741_5000_2004_326,8,EUR,0,0,5,
741_5000_2004_332,8,EUR,0,0,5,
741_5000_2004_333,8,EUR,0,0,5,
741_5000_2004_337,8,EUR,0,0,5,
741_5000_2004_338,8,EUR,0,0,5,
741_5000_2004_339,8,EUR,0,0,5,
741_5000_2004_340,8,EUR,0,0,5,
741_5000_2004_1303,8,EUR,0,0,5,
741_5000_2004_1352,8,EUR,0,0,5,
741_5000_2004_1910,8,EUR,0,0,5,
741_5000_2004_2753,8,EUR,0,0,5,
741_5000_2004_4026,8,EUR,0,0,5,
741_5000_2004_4865,8,EUR,0,0,5,
741_5000_2004_7060,8,EUR,0,0,5,
741_5000_2004_7073,8,EUR,0,0,5,
741_5000_2004_7074,8,EUR,0,0,5,
741_5000_2004_7078,8,EUR,0,0,5,
741_5000_2004_7090,8,EUR,0,0,5,
741_5000_2004_7194,8,EUR,0,0,5,
741_5000_2004_7525,8,EUR,0,0,5,
741_5000_2004_7973,8,EUR,0,0,5,
741_5000_2751_1,8,EUR,0,0,5,
741_5000_2751_323,8,EUR,0,0,5,
741_5000_2751_324,8,EUR,0,0,5,
741_5000_2751_325,8,EUR,0,0,5,
741_5000_2751_326,8,EUR,0,0,5,
741_5000_2751_332,8,EUR,0,0,5,
741_5000_2751_333,8,EUR,0,0,5,
741_5000_2751_337,8,EUR,0,0,5,
741_5000_2751_338,8,EUR,0,0,5,
741_5000_2751_339,8,EUR,0,0,5,
741_5000_2751_340,8,EUR,0,0,5,
741_5000_2751_1303,8,EUR,0,0,5,
741_5000_2751_1352,8,EUR,0,0,5,
741_5000_2751_1910,8,EUR,0,0,5,
741_5000_2751_1975,8,EUR,0,0,5,
741_5000_2751_2004,8,EUR,0,0,5,
741_5000_2751_2753,8,EUR,0,0,5,
741_5000_2751_4026,8,EUR,0,0,5,
741_5000_2751_4865,8,EUR,0,0,5,
741_5000_2751_7060,8,EUR,0,0,5,
741_5000_2751_7073,8,EUR,0,0,5,
741_5000_2751_7074,8,EUR,0,0,5,
741_5000_2751_7078,8,EUR,0,0,5,
741_5000_2751_7090,8,EUR,0,0,5,
741_5000_2751_7194,8,EUR,0,0,5,
741_5000_2751_7525,8,EUR,0,0,5,
741_5000_2751_7973,8,EUR,0,0,5,
741_5000_4026_1,8,EUR,0,0,5,
741_5000_4026_1910,8,EUR,0,0,5,
741_5000_4026_2753,8,EUR,0,0,5,
741_5000_4865_1,8,EUR,0,0,5,
741_5000_4865_324,8,EUR,0,0,5,
741_5000_4865_326,8,EUR,0,0,5,
741_5000_4865_1352,8,EUR,0,0,5,
741_5000_4865_1910,8,EUR,0,0,5,
741_5000_4865_2753,8,EUR,0,0,5,
741_5000_4865_4026,8,EUR,0,0,5,
741_5000_7060_1,8,EUR,0,0,5,
741_5000_7060_324,8,EUR,0,0,5,
741_5000_7060_326,8,EUR,0,0,5,
741_5000_7060_333,8,EUR,0,0,5,
741_5000_7060_337,8,EUR,0,0,5,
741_5000_7060_339,8,EUR,0,0,5,
741_5000_7060_1352,8,EUR,0,0,5,
741_5000_7060_1910,8,EUR,0,0,5,
741_5000_7060_2753,8,EUR,0,0,5,
741_5000_7060_4026,8,EUR,0,0,5,
741_5000_7060_4865,8,EUR,0,0,5,
741_5000_7060_7078,8,EUR,0,0,5,
741_5000_7060_7090,8,EUR,0,0,5,
741_5000_7060_7194,8,EUR,0,0,5,
741_5000_7073_1,8,EUR,0,0,5,
741_5000_7073_324,8,EUR,0,0,5,
741_5000_7073_326,8,EUR,0,0,5,
741_5000_7073_333,8,EUR,0,0,5,
741_5000_7073_337,8,EUR,0,0,5,
741_5000_7073_339,8,EUR,0,0,5,
741_5000_7073_340,8,EUR,0,0,5,
741_5000_7073_1352,8,EUR,0,0,5,
741_5000_7073_1910,8,EUR,0,0,5,
741_5000_7073_2753,8,EUR,0,0,5,
741_5000_7073_4026,8,EUR,0,0,5,
741_5000_7073_4865,8,EUR,0,0,5,
741_5000_7073_7060,8,EUR,0,0,5,
741_5000_7073_7074,8,EUR,0,0,5,
741_5000_7073_7078,8,EUR,0,0,5,
741_5000_7073_7090,8,EUR,0,0,5,
741_5000_7073_7194,8,EUR,0,0,5,
741_5000_7073_7525,8,EUR,0,0,5,
741_5000_7073_7973,8,EUR,0,0,5,
741_5000_7074_1,8,EUR,0,0,5,
741_5000_7074_324,8,EUR,0,0,5,
741_5000_7074_326,8,EUR,0,0,5,
741_5000_7074_333,8,EUR,0,0,5,
741_5000_7074_337,8,EUR,0,0,5,
741_5000_7074_339,8,EUR,0,0,5,
741_5000_7074_340,8,EUR,0,0,5,
741_5000_7074_1352,8,EUR,0,0,5,
741_5000_7074_1910,8,EUR,0,0,5,
741_5000_7074_2753,8,EUR,0,0,5,
741_5000_7074_4026,8,EUR,0,0,5,
741_5000_7074_4865,8,EUR,0,0,5,
741_5000_7074_7060,8,EUR,0,0,5,
741_5000_7074_7078,8,EUR,0,0,5,
741_5000_7074_7090,8,EUR,0,0,5,
741_5000_7074_7194,8,EUR,0,0,5,
741_5000_7074_7525,8,EUR,0,0,5,
741_5000_7074_7973,8,EUR,0,0,5,
741_5000_7078_1,8,EUR,0,0,5,
741_5000_7078_324,8,EUR,0,0,5,
741_5000_7078_326,8,EUR,0,0,5,
741_5000_7078_1352,8,EUR,0,0,5,
741_5000_7078_1910,8,EUR,0,0,5,
741_5000_7078_2753,8,EUR,0,0,5,
741_5000_7078_4026,8,EUR,0,0,5,
741_5000_7078_4865,8,EUR,0,0,5,
741_5000_7090_1,8,EUR,0,0,5,
741_5000_7090_324,8,EUR,0,0,5,
741_5000_7090_326,8,EUR,0,0,5,
741_5000_7090_333,8,EUR,0,0,5,
741_5000_7090_337,8,EUR,0,0,5,
741_5000_7090_339,8,EUR,0,0,5,
741_5000_7090_1352,8,EUR,0,0,5,
741_5000_7090_1910,8,EUR,0,0,5,
741_5000_7090_2753,8,EUR,0,0,5,
741_5000_7090_4026,8,EUR,0,0,5,
741_5000_7090_4865,8,EUR,0,0,5,
741_5000_7090_7078,8,EUR,0,0,5,
741_5000_7090_7194,8,EUR,0,0,5,
741_5000_7194_1,8,EUR,0,0,5,
741_5000_7194_324,8,EUR,0,0,5,
741_5000_7194_326,8,EUR,0,0,5,
741_5000_7194_1352,8,EUR,0,0,5,
741_5000_7194_1910,8,EUR,0,0,5,
741_5000_7194_2753,8,EUR,0,0,5,
741_5000_7194_4026,8,EUR,0,0,5,
741_5000_7194_4865,8,EUR,0,0,5,
741_5000_7194_7078,8,EUR,0,0,5,
741_5000_7525_1,8,EUR,0,0,5,
741_5000_7525_324,8,EUR,0,0,5,
741_5000_7525_326,8,EUR,0,0,5,
741_5000_7525_333,8,EUR,0,0,5,
741_5000_7525_337,8,EUR,0,0,5,
741_5000_7525_339,8,EUR,0,0,5,
741_5000_7525_1352,8,EUR,0,0,5,
741_5000_7525_1910,8,EUR,0,0,5,
741_5000_7525_2753,8,EUR,0,0,5,
741_5000_7525_4026,8,EUR,0,0,5,
741_5000_7525_4865,8,EUR,0,0,5,
741_5000_7525_7060,8,EUR,0,0,5,
741_5000_7525_7078,8,EUR,0,0,5,
741_5000_7525_7090,8,EUR,0,0,5,
741_5000_7525_7194,8,EUR,0,0,5,
741_5000_7525_7973,8,EUR,0,0,5,
741_5000_7973_1,8,EUR,0,0,5,
741_5000_7973_324,8,EUR,0,0,5,
741_5000_7973_326,8,EUR,0,0,5,
741_5000_7973_333,8,EUR,0,0,5,
741_5000_7973_337,8,EUR,0,0,5,
741_5000_7973_339,8,EUR,0,0,5,
741_5000_7973_1352,8,EUR,0,0,5,
741_5000_7973_1910,8,EUR,0,0,5,
741_5000_7973_2753,8,EUR,0,0,5,
741_5000_7973_4026,8,EUR,0,0,5,
741_5000_7973_4865,8,EUR,0,0,5,
741_5000_7973_7060,8,EUR,0,0,5,
741_5000_7973_7078,8,EUR,0,0,5,
741_5000_7973_7090,8,EUR,0,0,5,
741_5000_7973_7194,8,EUR,0,0,5,
741_5001_1_8010,6,EUR,0,0,5,
741_5001_323_1,6,EUR,0,0,5,
741_5001_323_324,6,EUR,0,0,5,
741_5001_323_325,6,EUR,0,0,5,
741_5001_323_326,6,EUR,0,0,5,
741_5001_323_332,6,EUR,0,0,5,
741_5001_323_333,6,EUR,0,0,5,
741_5001_323_337,6,EUR,0,0,5,
741_5001_323_338,6,EUR,0,0,5,
741_5001_323_339,6,EUR,0,0,5,
741_5001_323_340,6,EUR,0,0,5,
741_5001_323_5602,6,EUR,0,0,5,
741_5001_323_5603,6,EUR,0,0,5,
741_5001_323_5622,6,EUR,0,0,5,
741_5001_323_5683,6,EUR,0,0,5,
741_5001_323_5847,6,EUR,0,0,5,
741_5001_323_5848,6,EUR,0,0,5,
741_5001_323_5849,6,EUR,0,0,5,
741_5001_323_5850,6,EUR,0,0,5,
741_5001_323_5853,6,EUR,0,0,5,
741_5001_323_5854,6,EUR,0,0,5,
741_5001_323_5858,6,EUR,0,0,5,
741_5001_323_5859,6,EUR,0,0,5,
741_5001_323_5867,6,EUR,0,0,5,
741_5001_323_5901,6,EUR,0,0,5,
741_5001_323_7060,6,EUR,0,0,5,
741_5001_323_7973,6,EUR,0,0,5,
741_5001_323_8010,6,EUR,0,0,5,
741_5001_324_1,6,EUR,0,0,5,
741_5001_324_5603,6,EUR,0,0,5,
741_5001_324_5848,6,EUR,0,0,5,
741_5001_324_8010,6,EUR,0,0,5,
741_5001_325_1,6,EUR,0,0,5,
741_5001_325_324,6,EUR,0,0,5,
741_5001_325_326,6,EUR,0,0,5,
741_5001_325_332,6,EUR,0,0,5,
741_5001_325_333,6,EUR,0,0,5,
741_5001_325_337,6,EUR,0,0,5,
741_5001_325_338,6,EUR,0,0,5,
741_5001_325_339,6,EUR,0,0,5,
741_5001_325_340,6,EUR,0,0,5,
