fare_id,route_id,origin_id,destination_id
741_5000_1_2753,,1,2753
741_5000_323_1,,323,1
741_5000_323_324,,323,324
741_5000_323_325,,323,325
741_5000_323_326,,323,326
741_5000_323_332,,323,332
741_5000_323_333,,323,333
741_5000_323_337,,323,337
741_5000_323_338,,323,338
741_5000_323_339,,323,339
741_5000_323_340,,323,340
741_5000_323_1303,,323,1303
741_5000_323_1352,,323,1352
741_5000_323_1910,,323,1910
741_5000_323_2004,,323,2004
741_5000_323_2753,,323,2753
741_5000_323_4026,,323,4026
741_5000_323_4865,,323,4865
741_5000_323_7060,,323,7060
741_5000_323_7073,,323,7073
741_5000_323_7074,,323,7074
741_5000_323_7078,,323,7078
741_5000_323_7090,,323,7090
741_5000_323_7194,,323,7194
741_5000_323_7525,,323,7525
741_5000_323_7973,,323,7973
741_5000_324_1,,324,1
741_5000_324_1910,,324,1910
741_5000_324_2753,,324,2753
741_5000_324_4026,,324,4026
741_5000_325_1,,325,1
741_5000_325_324,,325,324
741_5000_325_326,,325,326
741_5000_325_332,,325,332
741_5000_325_333,,325,333
741_5000_325_337,,325,337
741_5000_325_338,,325,338
741_5000_325_339,,325,339
741_5000_325_340,,325,340
741_5000_325_1303,,325,1303
741_5000_325_1352,,325,1352
741_5000_325_1910,,325,1910
741_5000_325_2004,,325,2004
741_5000_325_2753,,325,2753
741_5000_325_4026,,325,4026
741_5000_325_4865,,325,4865
741_5000_325_7060,,325,7060
741_5000_325_7073,,325,7073
741_5000_325_7074,,325,7074
741_5000_325_7078,,325,7078
741_5000_325_7090,,325,7090
741_5000_325_7194,,325,7194
741_5000_325_7525,,325,7525
741_5000_325_7973,,325,7973
741_5000_326_1,,326,1
741_5000_326_324,,326,324
741_5000_326_1352,,326,1352
741_5000_326_1910,,326,1910
741_5000_326_2753,,326,2753
741_5000_326_4026,,326,4026
741_5000_332_1,,332,1
741_5000_332_324,,332,324
741_5000_332_326,,332,326
741_5000_332_333,,332,333
741_5000_332_337,,332,337
741_5000_332_338,,332,338
741_5000_332_339,,332,339
741_5000_332_340,,332,340
741_5000_332_1352,,332,1352
741_5000_332_1910,,332,1910
741_5000_332_2753,,332,2753
741_5000_332_4026,,332,4026
741_5000_332_4865,,332,4865
741_5000_332_7060,,332,7060
741_5000_332_7073,,332,7073
741_5000_332_7074,,332,7074
741_5000_332_7078,,332,7078
741_5000_332_7090,,332,7090
741_5000_332_7194,,332,7194
741_5000_332_7525,,332,7525
741_5000_332_7973,,332,7973
741_5000_333_1,,333,1
741_5000_333_324,,333,324
741_5000_333_326,,333,326
741_5000_333_337,,333,337
741_5000_333_1352,,333,1352
741_5000_333_1910,,333,1910
741_5000_333_2753,,333,2753
741_5000_333_4026,,333,4026
741_5000_333_4865,,333,4865
741_5000_333_7078,,333,7078
741_5000_333_7194,,333,7194
741_5000_337_1,,337,1
741_5000_337_324,,337,324
741_5000_337_326,,337,326
741_5000_337_1352,,337,1352
741_5000_337_1910,,337,1910
741_5000_337_2753,,337,2753
741_5000_337_4026,,337,4026
741_5000_337_4865,,337,4865
741_5000_337_7078,,337,7078
741_5000_337_7194,,337,7194
741_5000_338_1,,338,1
741_5000_338_324,,338,324
741_5000_338_326,,338,326
741_5000_338_333,,338,333
741_5000_338_337,,338,337
741_5000_338_339,,338,339
741_5000_338_340,,338,340
741_5000_338_1352,,338,1352
741_5000_338_1910,,338,1910
741_5000_338_2753,,338,2753
741_5000_338_4026,,338,4026
741_5000_338_4865,,338,4865
741_5000_338_7060,,338,7060
741_5000_338_7073,,338,7073
741_5000_338_7074,,338,7074
741_5000_338_7078,,338,7078
741_5000_338_7090,,338,7090
741_5000_338_7194,,338,7194
741_5000_338_7525,,338,7525
741_5000_338_7973,,338,7973
741_5000_339_1,,339,1
741_5000_339_324,,339,324
741_5000_339_326,,339,326
741_5000_339_333,,339,333
741_5000_339_337,,339,337
741_5000_339_1352,,339,1352
741_5000_339_1910,,339,1910
741_5000_339_2753,,339,2753
741_5000_339_4026,,339,4026
741_5000_339_4865,,339,4865
741_5000_339_7078,,339,7078
741_5000_339_7194,,339,7194
741_5000_340_1,,340,1
741_5000_340_324,,340,324
741_5000_340_326,,340,326
741_5000_340_333,,340,333
741_5000_340_337,,340,337
741_5000_340_339,,340,339
741_5000_340_1352,,340,1352
741_5000_340_1910,,340,1910
741_5000_340_2753,,340,2753
741_5000_340_4026,,340,4026
741_5000_340_4865,,340,4865
741_5000_340_7060,,340,7060
741_5000_340_7078,,340,7078
741_5000_340_7090,,340,7090
741_5000_340_7194,,340,7194
741_5000_340_7525,,340,7525
741_5000_340_7973,,340,7973
741_5000_1297_1,,1297,1
741_5000_1297_323,,1297,323
741_5000_1297_324,,1297,324
741_5000_1297_325,,1297,325
741_5000_1297_326,,1297,326
741_5000_1297_332,,1297,332
741_5000_1297_333,,1297,333
741_5000_1297_337,,1297,337
741_5000_1297_338,,1297,338
741_5000_1297_339,,1297,339
741_5000_1297_340,,1297,340
