fare_id,route_id,origin_id,destination_id
741_5000_1297_1303,,1297,1303
741_5000_1297_1352,,1297,1352
741_5000_1297_1910,,1297,1910
741_5000_1297_1975,,1297,1975
741_5000_1297_2004,,1297,2004
741_5000_1297_2751,,1297,2751
741_5000_1297_2753,,1297,2753
741_5000_1297_4026,,1297,4026
741_5000_1297_4865,,1297,4865
741_5000_1297_7060,,1297,7060
741_5000_1297_7073,,1297,7073
741_5000_1297_7074,,1297,7074
741_5000_1297_7078,,1297,7078
741_5000_1297_7090,,1297,7090
741_5000_1297_7194,,1297,7194
741_5000_1297_7525,,1297,7525
741_5000_1297_7973,,1297,7973
741_5000_1303_1,,1303,1
741_5000_1303_324,,1303,324
741_5000_1303_326,,1303,326
741_5000_1303_332,,1303,332
741_5000_1303_333,,1303,333
741_5000_1303_337,,1303,337
741_5000_1303_338,,1303,338
741_5000_1303_339,,1303,339
741_5000_1303_340,,1303,340
741_5000_1303_1352,,1303,1352
741_5000_1303_1910,,1303,1910
741_5000_1303_2753,,1303,2753
741_5000_1303_4026,,1303,4026
741_5000_1303_4865,,1303,4865
741_5000_1303_7060,,1303,7060
741_5000_1303_7073,,1303,7073
741_5000_1303_7074,,1303,7074
741_5000_1303_7078,,1303,7078
741_5000_1303_7090,,1303,7090
741_5000_1303_7194,,1303,7194
741_5000_1303_7525,,1303,7525
741_5000_1303_7973,,1303,7973
741_5000_1352_1,,1352,1
741_5000_1352_324,,1352,324
741_5000_1352_1910,,1352,1910
741_5000_1352_2753,,1352,2753
741_5000_1352_4026,,1352,4026
741_5000_1910_1,,1910,1
741_5000_1910_2753,,1910,2753
741_5000_1975_1,,1975,1
741_5000_1975_323,,1975,323
741_5000_1975_324,,1975,324
741_5000_1975_325,,1975,325
741_5000_1975_326,,1975,326
741_5000_1975_332,,1975,332
741_5000_1975_333,,1975,333
741_5000_1975_337,,1975,337
741_5000_1975_338,,1975,338
741_5000_1975_339,,1975,339
741_5000_1975_340,,1975,340
741_5000_1975_1303,,1975,1303
741_5000_1975_1352,,1975,1352
741_5000_1975_1910,,1975,1910
741_5000_1975_2004,,1975,2004
741_5000_1975_2753,,1975,2753
741_5000_1975_4026,,1975,4026
741_5000_1975_4865,,1975,4865
741_5000_1975_7060,,1975,7060
741_5000_1975_7073,,1975,7073
741_5000_1975_7074,,1975,7074
741_5000_1975_7078,,1975,7078
741_5000_1975_7090,,1975,7090
741_5000_1975_7194,,1975,7194
741_5000_1975_7525,,1975,7525
741_5000_1975_7973,,1975,7973
741_5000_2004_1,,2004,1
741_5000_2004_324,,2004,324
741_5000_2004_326,,2004,326
741_5000_2004_332,,2004,332
741_5000_2004_333,,2004,333
741_5000_2004_337,,2004,337
741_5000_2004_338,,2004,338
741_5000_2004_339,,2004,339
741_5000_2004_340,,2004,340
741_5000_2004_1303,,2004,1303
741_5000_2004_1352,,2004,1352
741_5000_2004_1910,,2004,1910
741_5000_2004_2753,,2004,2753
741_5000_2004_4026,,2004,4026
741_5000_2004_4865,,2004,4865
741_5000_2004_7060,,2004,7060
741_5000_2004_7073,,2004,7073
741_5000_2004_7074,,2004,7074
741_5000_2004_7078,,2004,7078
741_5000_2004_7090,,2004,7090
741_5000_2004_7194,,2004,7194
741_5000_2004_7525,,2004,7525
741_5000_2004_7973,,2004,7973
741_5000_2751_1,,2751,1
741_5000_2751_323,,2751,323
741_5000_2751_324,,2751,324
741_5000_2751_325,,2751,325
741_5000_2751_326,,2751,326
741_5000_2751_332,,2751,332
741_5000_2751_333,,2751,333
741_5000_2751_337,,2751,337
741_5000_2751_338,,2751,338
741_5000_2751_339,,2751,339
741_5000_2751_340,,2751,340
741_5000_2751_1303,,2751,1303
741_5000_2751_1352,,2751,1352
741_5000_2751_1910,,2751,1910
741_5000_2751_1975,,2751,1975
741_5000_2751_2004,,2751,2004
741_5000_2751_2753,,2751,2753
741_5000_2751_4026,,2751,4026
741_5000_2751_4865,,2751,4865
741_5000_2751_7060,,2751,7060
741_5000_2751_7073,,2751,7073
741_5000_2751_7074,,2751,7074
741_5000_2751_7078,,2751,7078
741_5000_2751_7090,,2751,7090
741_5000_2751_7194,,2751,7194
741_5000_2751_7525,,2751,7525
741_5000_2751_7973,,2751,7973
741_5000_4026_1,,4026,1
741_5000_4026_1910,,4026,1910
741_5000_4026_2753,,4026,2753
741_5000_4865_1,,4865,1
741_5000_4865_324,,4865,324
741_5000_4865_326,,4865,326
741_5000_4865_1352,,4865,1352
741_5000_4865_1910,,4865,1910
741_5000_4865_2753,,4865,2753
741_5000_4865_4026,,4865,4026
741_5000_7060_1,,7060,1
741_5000_7060_324,,7060,324
741_5000_7060_326,,7060,326
741_5000_7060_333,,7060,333
741_5000_7060_337,,7060,337
741_5000_7060_339,,7060,339
741_5000_7060_1352,,7060,1352
741_5000_7060_1910,,7060,1910
741_5000_7060_2753,,7060,2753
741_5000_7060_4026,,7060,4026
741_5000_7060_4865,,7060,4865
741_5000_7060_7078,,7060,7078
741_5000_7060_7090,,7060,7090
741_5000_7060_7194,,7060,7194
741_5000_7073_1,,7073,1
741_5000_7073_324,,7073,324
741_5000_7073_326,,7073,326
741_5000_7073_333,,7073,333
741_5000_7073_337,,7073,337
741_5000_7073_339,,7073,339
741_5000_7073_340,,7073,340
741_5000_7073_1352,,7073,1352
741_5000_7073_1910,,7073,1910
741_5000_7073_2753,,7073,2753
741_5000_7073_4026,,7073,4026
741_5000_7073_4865,,7073,4865
741_5000_7073_7060,,7073,7060
741_5000_7073_7074,,7073,7074
741_5000_7073_7078,,7073,7078
741_5000_7073_7090,,7073,7090
741_5000_7073_7194,,7073,7194
741_5000_7073_7525,,7073,7525
741_5000_7073_7973,,7073,7973
741_5000_7074_1,,7074,1
741_5000_7074_324,,7074,324
741_5000_7074_326,,7074,326
741_5000_7074_333,,7074,333
741_5000_7074_337,,7074,337
741_5000_7074_339,,7074,339
741_5000_7074_340,,7074,340
741_5000_7074_1352,,7074,1352
741_5000_7074_1910,,7074,1910
741_5000_7074_2753,,7074,2753
741_5000_7074_4026,,7074,4026
741_5000_7074_4865,,7074,4865
741_5000_7074_7060,,7074,7060
741_5000_7074_7078,,7074,7078
741_5000_7074_7090,,7074,7090
741_5000_7074_7194,,7074,7194
741_5000_7074_7525,,7074,7525
741_5000_7074_7973,,7074,7973
741_5000_7078_1,,7078,1
741_5000_7078_324,,7078,324
741_5000_7078_326,,7078,326
741_5000_7078_1352,,7078,1352
741_5000_7078_1910,,7078,1910
741_5000_7078_2753,,7078,2753
741_5000_7078_4026,,7078,4026
741_5000_7078_4865,,7078,4865
741_5000_7090_1,,7090,1
741_5000_7090_324,,7090,324
741_5000_7090_326,,7090,326
741_5000_7090_333,,7090,333
741_5000_7090_337,,7090,337
741_5000_7090_339,,7090,339
741_5000_7090_1352,,7090,1352
741_5000_7090_1910,,7090,1910
741_5000_7090_2753,,7090,2753
741_5000_7090_4026,,7090,4026
741_5000_7090_4865,,7090,4865
741_5000_7090_7078,,7090,7078
741_5000_7090_7194,,7090,7194
741_5000_7194_1,,7194,1
741_5000_7194_324,,7194,324
741_5000_7194_326,,7194,326
741_5000_7194_1352,,7194,1352
741_5000_7194_1910,,7194,1910
741_5000_7194_2753,,7194,2753
741_5000_7194_4026,,7194,4026
741_5000_7194_4865,,7194,4865
741_5000_7194_7078,,7194,7078
741_5000_7525_1,,7525,1
741_5000_7525_324,,7525,324
741_5000_7525_326,,7525,326
741_5000_7525_333,,7525,333
741_5000_7525_337,,7525,337
741_5000_7525_339,,7525,339
741_5000_7525_1352,,7525,1352
741_5000_7525_1910,,7525,1910
741_5000_7525_2753,,7525,2753
741_5000_7525_4026,,7525,4026
741_5000_7525_4865,,7525,4865
741_5000_7525_7060,,7525,7060
741_5000_7525_7078,,7525,7078
741_5000_7525_7090,,7525,7090
741_5000_7525_7194,,7525,7194
741_5000_7525_7973,,7525,7973
741_5000_7973_1,,7973,1
741_5000_7973_324,,7973,324
741_5000_7973_326,,7973,326
741_5000_7973_333,,7973,333
741_5000_7973_337,,7973,337
741_5000_7973_339,,7973,339
741_5000_7973_1352,,7973,1352
741_5000_7973_1910,,7973,1910
741_5000_7973_2753,,7973,2753
741_5000_7973_4026,,7973,4026
741_5000_7973_4865,,7973,4865
741_5000_7973_7060,,7973,7060
741_5000_7973_7078,,7973,7078
741_5000_7973_7090,,7973,7090
741_5000_7973_7194,,7973,7194
741_5001_1_8010,,1,8010
741_5001_323_1,,323,1
741_5001_323_324,,323,324
741_5001_323_325,,323,325
741_5001_323_326,,323,326
741_5001_323_332,,323,332
741_5001_323_333,,323,333
741_5001_323_337,,323,337
741_5001_323_338,,323,338
741_5001_323_339,,323,339
741_5001_323_340,,323,340
741_5001_323_5602,,323,5602
741_5001_323_5603,,323,5603
741_5001_323_5622,,323,5622
741_5001_323_5683,,323,5683
741_5001_323_5847,,323,5847
741_5001_323_5848,,323,5848
741_5001_323_5849,,323,5849
741_5001_323_5850,,323,5850
741_5001_323_5853,,323,5853
741_5001_323_5854,,323,5854
741_5001_323_5858,,323,5858
741_5001_323_5859,,323,5859
741_5001_323_5867,,323,5867
741_5001_323_5901,,323,5901
741_5001_323_7060,,323,7060
741_5001_323_7973,,323,7973
741_5001_323_8010,,323,8010
741_5001_324_1,,324,1
741_5001_324_5603,,324,5603
741_5001_324_5848,,324,5848
741_5001_324_8010,,324,8010
741_5001_325_1,,325,1
741_5001_325_324,,325,324
741_5001_325_326,,325,326
741_5001_325_332,,325,332
741_5001_325_333,,325,333
741_5001_325_337,,325,337
741_5001_325_338,,325,338
741_5001_325_339,,325,339
741_5001_325_340,,325,340
741_5001_325_5603,,325,5603
741_5001_325_5847,,325,5847
741_5001_325_5848,,325,5848
741_5001_325_5849,,325,5849
741_5001_325_5850,,325,5850
741_5001_325_5853,,325,5853
741_5001_325_5854,,325,5854
741_5001_325_5858,,325,5858
741_5001_325_5859,,325,5859
741_5001_325_5867,,325,5867
741_5001_325_5901,,325,5901
741_5001_325_7060,,325,7060
741_5001_325_7973,,325,7973
741_5001_325_8010,,325,8010
741_5001_326_1,,326,1
741_5001_326_324,,326,324
741_5001_326_5603,,326,5603
741_5001_326_5848,,326,5848
741_5001_326_5849,,326,5849
741_5001_326_8010,,326,8010
741_5001_332_1,,332,1
741_5001_332_324,,332,324
741_5001_332_326,,332,326
741_5001_332_333,,332,333
741_5001_332_337,,332,337
741_5001_332_338,,332,338
741_5001_332_339,,332,339
741_5001_332_340,,332,340
741_5001_332_5603,,332,5603
741_5001_332_5847,,332,5847
741_5001_332_5848,,332,5848
741_5001_332_5849,,332,5849
741_5001_332_5850,,332,5850
741_5001_332_5853,,332,5853
741_5001_332_5854,,332,5854
741_5001_332_5858,,332,5858
741_5001_332_5859,,332,5859
741_5001_332_5867,,332,5867
741_5001_332_5901,,332,5901
741_5001_332_7060,,332,7060
741_5001_332_7973,,332,7973
741_5001_332_8010,,332,8010
741_5001_333_1,,333,1
741_5001_333_324,,333,324
741_5001_333_326,,333,326
741_5001_333_5603,,333,5603
741_5001_333_5848,,333,5848
741_5001_333_5849,,333,5849
741_5001_333_8010,,333,8010
741_5001_337_1,,337,1
741_5001_337_324,,337,324
741_5001_337_326,,337,326
741_5001_337_333,,337,333
741_5001_337_5603,,337,5603
741_5001_337_5848,,337,5848
741_5001_337_5849,,337,5849
741_5001_337_5853,,337,5853
741_5001_337_5859,,337,5859
741_5001_337_7973,,337,7973
741_5001_337_8010,,337,8010
741_5001_338_1,,338,1
741_5001_338_324,,338,324
741_5001_338_326,,338,326
741_5001_338_333,,338,333
741_5001_338_337,,338,337
741_5001_338_339,,338,339
741_5001_338_340,,338,340
741_5001_338_5603,,338,5603
741_5001_338_5848,,338,5848
741_5001_338_5849,,338,5849
741_5001_338_5850,,338,5850
741_5001_338_5853,,338,5853
741_5001_338_5854,,338,5854
741_5001_338_5858,,338,5858
741_5001_338_5859,,338,5859
741_5001_338_5867,,338,5867
741_5001_338_5901,,338,5901
741_5001_338_7060,,338,7060
741_5001_338_7973,,338,7973
741_5001_338_8010,,338,8010
741_5001_339_1,,339,1
741_5001_339_324,,339,324
741_5001_339_326,,339,326
741_5001_339_333,,339,333
741_5001_339_337,,339,337
741_5001_339_5603,,339,5603
741_5001_339_5848,,339,5848
741_5001_339_5849,,339,5849
741_5001_339_5853,,339,5853
741_5001_339_5859,,339,5859
741_5001_339_7973,,339,7973
741_5001_339_8010,,339,8010
741_5001_340_1,,340,1
741_5001_340_324,,340,324
741_5001_340_326,,340,326
741_5001_340_333,,340,333
741_5001_340_337,,340,337
741_5001_340_339,,340,339
741_5001_340_5603,,340,5603
741_5001_340_5848,,340,5848
741_5001_340_5849,,340,5849
741_5001_340_5853,,340,5853
741_5001_340_5858,,340,5858
741_5001_340_5859,,340,5859
741_5001_340_5867,,340,5867
741_5001_340_5901,,340,5901
741_5001_340_7060,,340,7060
741_5001_340_7973,,340,7973
741_5001_340_8010,,340,8010
741_5001_5602_1,,5602,1
741_5001_5602_324,,5602,324
741_5001_5602_325,,5602,325
741_5001_5602_326,,5602,326
741_5001_5602_332,,5602,332
741_5001_5602_333,,5602,333
741_5001_5602_337,,5602,337
741_5001_5602_338,,5602,338
741_5001_5602_339,,5602,339
741_5001_5602_340,,5602,340
741_5001_5602_5603,,5602,5603
741_5001_5602_5847,,5602,5847
741_5001_5602_5848,,5602,5848
741_5001_5602_5849,,5602,5849
741_5001_5602_5850,,5602,5850
741_5001_5602_5853,,5602,5853
741_5001_5602_5854,,5602,5854
741_5001_5602_5858,,5602,5858
741_5001_5602_5859,,5602,5859
741_5001_5602_5867,,5602,5867
741_5001_5602_5901,,5602,5901
741_5001_5602_7060,,5602,7060
741_5001_5602_7973,,5602,7973
741_5001_5602_8010,,5602,8010
741_5001_5603_1,,5603,1
741_5001_5603_8010,,5603,8010
741_5001_5622_1,,5622,1
741_5001_5622_324,,5622,324
741_5001_5622_325,,5622,325
741_5001_5622_326,,5622,326
741_5001_5622_332,,5622,332
741_5001_5622_333,,5622,333
741_5001_5622_337,,5622,337
741_5001_5622_338,,5622,338
741_5001_5622_339,,5622,339
741_5001_5622_340,,5622,340
741_5001_5622_5602,,5622,5602
741_5001_5622_5603,,5622,5603
741_5001_5622_5847,,5622,5847
741_5001_5622_5848,,5622,5848
741_5001_5622_5849,,5622,5849
741_5001_5622_5850,,5622,5850
741_5001_5622_5853,,5622,5853
741_5001_5622_5854,,5622,5854
741_5001_5622_5858,,5622,5858
741_5001_5622_5859,,5622,5859
741_5001_5622_5867,,5622,5867
741_5001_5622_5901,,5622,5901
741_5001_5622_7060,,5622,7060
741_5001_5622_7973,,5622,7973
741_5001_5622_8010,,5622,8010
741_5001_5683_1,,5683,1
741_5001_5683_324,,5683,324
741_5001_5683_325,,5683,325
741_5001_5683_326,,5683,326
741_5001_5683_332,,5683,332
741_5001_5683_333,,5683,333
741_5001_5683_337,,5683,337
741_5001_5683_338,,5683,338
741_5001_5683_339,,5683,339
741_5001_5683_340,,5683,340
741_5001_5683_5602,,5683,5602
741_5001_5683_5603,,5683,5603
741_5001_5683_5622,,5683,5622
741_5001_5683_5847,,5683,5847
741_5001_5683_5848,,5683,5848
741_5001_5683_5849,,5683,5849
741_5001_5683_5850,,5683,5850
741_5001_5683_5853,,5683,5853
741_5001_5683_5854,,5683,5854
741_5001_5683_5858,,5683,5858
741_5001_5683_5859,,5683,5859
741_5001_5683_5867,,5683,5867
741_5001_5683_5901,,5683,5901
741_5001_5683_7060,,5683,7060
741_5001_5683_7973,,5683,7973
741_5001_5683_8010,,5683,8010
741_5001_5847_1,,5847,1
741_5001_5847_324,,5847,324
741_5001_5847_326,,5847,326
741_5001_5847_333,,5847,333
741_5001_5847_337,,5847,337
741_5001_5847_338,,5847,338
741_5001_5847_339,,5847,339
741_5001_5847_340,,5847,340
741_5001_5847_5603,,5847,5603
741_5001_5847_5848,,5847,5848
741_5001_5847_5849,,5847,5849
741_5001_5847_5850,,5847,5850
741_5001_5847_5853,,5847,5853
741_5001_5847_5854,,5847,5854
741_5001_5847_5858,,5847,5858
741_5001_5847_5859,,5847,5859
741_5001_5847_5867,,5847,5867
741_5001_5847_5901,,5847,5901
741_5001_5847_7060,,5847,7060
741_5001_5847_7973,,5847,7973
741_5001_5847_8010,,5847,8010
741_5001_5848_1,,5848,1
741_5001_5848_5603,,5848,5603
741_5001_5848_8010,,5848,8010
741_5001_5849_1,,5849,1
741_5001_5849_324,,5849,324
741_5001_5849_5603,,5849,5603
741_5001_5849_5848,,5849,5848
741_5001_5849_8010,,5849,8010
741_5001_5850_1,,5850,1
741_5001_5850_324,,5850,324
741_5001_5850_326,,5850,326
741_5001_5850_333,,5850,333
741_5001_5850_337,,5850,337
741_5001_5850_339,,5850,339
741_5001_5850_340,,5850,340
741_5001_5850_5603,,5850,5603
741_5001_5850_5848,,5850,5848
741_5001_5850_5849,,5850,5849
741_5001_5850_5853,,5850,5853
741_5001_5850_5854,,5850,5854
741_5001_5850_5858,,5850,5858
741_5001_5850_5859,,5850,5859
741_5001_5850_5867,,5850,5867
741_5001_5850_5901,,5850,5901
741_5001_5850_7060,,5850,7060
741_5001_5850_7973,,5850,7973
741_5001_5850_8010,,5850,8010
741_5001_5853_1,,5853,1
741_5001_5853_324,,5853,324
741_5001_5853_326,,5853,326
741_5001_5853_333,,5853,333
741_5001_5853_5603,,5853,5603
741_5001_5853_5848,,5853,5848
741_5001_5853_5849,,5853,5849
741_5001_5853_8010,,5853,8010
741_5001_5854_1,,5854,1
741_5001_5854_324,,5854,324
741_5001_5854_326,,5854,326
741_5001_5854_333,,5854,333
741_5001_5854_337,,5854,337
741_5001_5854_339,,5854,339
741_5001_5854_340,,5854,340
741_5001_5854_5603,,5854,5603
741_5001_5854_5848,,5854,5848
741_5001_5854_5849,,5854,5849
741_5001_5854_5853,,5854,5853
741_5001_5854_5858,,5854,5858
741_5001_5854_5859,,5854,5859
741_5001_5854_5867,,5854,5867
741_5001_5854_5901,,5854,5901
741_5001_5854_7060,,5854,7060
741_5001_5854_7973,,5854,7973
741_5001_5854_8010,,5854,8010
741_5001_5858_1,,5858,1
741_5001_5858_324,,5858,324
741_5001_5858_326,,5858,326
741_5001_5858_333,,5858,333
741_5001_5858_337,,5858,337
741_5001_5858_339,,5858,339
741_5001_5858_5603,,5858,5603
741_5001_5858_5848,,5858,5848
741_5001_5858_5849,,5858,5849
741_5001_5858_5853,,5858,5853
741_5001_5858_5859,,5858,5859
741_5001_5858_5867,,5858,5867
741_5001_5858_5901,,5858,5901
741_5001_5858_7060,,5858,7060
741_5001_5858_7973,,5858,7973
741_5001_5858_8010,,5858,8010
741_5001_5859_1,,5859,1
741_5001_5859_324,,5859,324
741_5001_5859_326,,5859,326
741_5001_5859_333,,5859,333
741_5001_5859_5603,,5859,5603
741_5001_5859_5848,,5859,5848
741_5001_5859_5849,,5859,5849
741_5001_5859_5853,,5859,5853
741_5001_5859_8010,,5859,8010
741_5001_5867_1,,5867,1
741_5001_5867_324,,5867,324
741_5001_5867_326,,5867,326
741_5001_5867_333,,5867,333
741_5001_5867_337,,5867,337
741_5001_5867_339,,5867,339
741_5001_5867_5603,,5867,5603
741_5001_5867_5848,,5867,5848
741_5001_5867_5849,,5867,5849
741_5001_5867_5853,,5867,5853
741_5001_5867_5859,,5867,5859
741_5001_5867_5901,,5867,5901
741_5001_5867_7060,,5867,7060
741_5001_5867_7973,,5867,7973
741_5001_5867_8010,,5867,8010
741_5001_5901_1,,5901,1
741_5001_5901_324,,5901,324
741_5001_5901_326,,5901,326
741_5001_5901_333,,5901,333
741_5001_5901_337,,5901,337
741_5001_5901_339,,5901,339
741_5001_5901_5603,,5901,5603
741_5001_5901_5848,,5901,5848
741_5001_5901_5849,,5901,5849
741_5001_5901_5853,,5901,5853
741_5001_5901_5859,,5901,5859
741_5001_5901_7060,,5901,7060
741_5001_5901_7973,,5901,7973
741_5001_5901_8010,,5901,8010
741_5001_7060_1,,7060,1
741_5001_7060_324,,7060,324
741_5001_7060_326,,7060,326
741_5001_7060_333,,7060,333
741_5001_7060_337,,7060,337
741_5001_7060_339,,7060,339
741_5001_7060_5603,,7060,5603
741_5001_7060_5848,,7060,5848
741_5001_7060_5849,,7060,5849
741_5001_7060_5853,,7060,5853
741_5001_7060_5859,,7060,5859
741_5001_7060_7973,,7060,7973
741_5001_7060_8010,,7060,8010
741_5001_7973_1,,7973,1
741_5001_7973_324,,7973,324
741_5001_7973_326,,7973,326
741_5001_7973_333,,7973,333
741_5001_7973_5603,,7973,5603
741_5001_7973_5848,,7973,5848
741_5001_7973_5849,,7973,5849
741_5001_7973_5853,,7973,5853
741_5001_7973_5859,,7973,5859
741_5001_7973_8010,,7973,8010
741_5001_7994_1,,7994,1
741_5001_7994_323,,7994,323
741_5001_7994_324,,7994,324
741_5001_7994_325,,7994,325
741_5001_7994_326,,7994,326
741_5001_7994_332,,7994,332
741_5001_7994_333,,7994,333
741_5001_7994_337,,7994,337
741_5001_7994_338,,7994,338
741_5001_7994_339,,7994,339
741_5001_7994_340,,7994,340
741_5001_7994_5602,,7994,5602
741_5001_7994_5603,,7994,5603
741_5001_7994_5622,,7994,5622
741_5001_7994_5683,,7994,5683
741_5001_7994_5847,,7994,5847
741_5001_7994_5848,,7994,5848
741_5001_7994_5849,,7994,5849
741_5001_7994_5850,,7994,5850
741_5001_7994_5853,,7994,5853
741_5001_7994_5854,,7994,5854
741_5001_7994_5858,,7994,5858
741_5001_7994_5859,,7994,5859
741_5001_7994_5867,,7994,5867
741_5001_7994_5901,,7994,5901
741_5001_7994_7060,,7994,7060
741_5001_7994_7973,,7994,7973
741_5001_7994_8010,,7994,8010
741_5002_5602_5603,,5602,5603
741_5002_5602_5847,,5602,5847
741_5002_5602_5848,,5602,5848
741_5002_5602_5849,,5602,5849
741_5002_5602_5850,,5602,5850
741_5002_5602_5853,,5602,5853
741_5002_5602_5854,,5602,5854
741_5002_5602_5858,,5602,5858
741_5002_5602_5859,,5602,5859
741_5002_5602_5867,,5602,5867
741_5002_5602_5901,,5602,5901
741_5002_5602_6104,,5602,6104
741_5002_5602_6417,,5602,6417
741_5002_5602_6418,,5602,6418
741_5002_5602_6427,,5602,6427
741_5002_5602_6429,,5602,6429
741_5002_5602_6497,,5602,6497
741_5002_5602_6555,,5602,6555
741_5002_5602_6556,,5602,6556
741_5002_5602_6595,,5602,6595
741_5002_5602_6601,,5602,6601
741_5002_5602_6656,,5602,6656
741_5002_5602_6665,,5602,6665
741_5002_5602_8010,,5602,8010
741_5002_5603_6104,,5603,6104
741_5002_5603_6497,,5603,6497
741_5002_5603_8010,,5603,8010
741_5002_5683_5602,,5683,5602
741_5002_5683_5603,,5683,5603
741_5002_5683_5847,,5683,5847
741_5002_5683_5848,,5683,5848
741_5002_5683_5849,,5683,5849
