trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
15335374,06:30:00,06:30:00,8035,0,0,0
15335374,06:30:00,06:30:00,7840,1,0,0
15335374,06:31:00,06:31:00,8033,2,0,0
15335374,06:39:00,06:39:00,339,3,0,0
15335374,06:41:00,06:41:00,337,4,0,0
15335374,06:42:00,06:42:00,335,5,0,0
15335374,06:43:00,06:43:00,333,6,0,0
15335374,06:45:00,06:45:00,326,7,0,0
15335374,06:47:00,06:47:00,322,8,0,0
15335374,06:49:00,06:49:00,3,9,0,0
15335375,06:49:00,06:49:00,3,0,0,0
15335375,06:50:00,06:50:00,2702,1,0,0
15335375,06:51:00,06:51:00,53,2,0,0
15335375,06:54:00,06:54:00,7842,3,0,0
15335375,06:55:00,06:55:00,321,4,0,0
15335375,06:57:00,06:57:00,325,5,0,0
15335375,07:01:00,07:01:00,332,6,0,0
15335375,07:02:00,07:02:00,334,7,0,0
15335375,07:03:00,07:03:00,336,8,0,0
15335375,07:04:00,07:04:00,338,9,0,0
15335375,07:06:00,07:06:00,340,10,0,0
15335375,07:23:00,07:23:00,8036,11,0,0
15335375,07:26:00,07:26:00,8035,12,0,0
15335376,07:30:00,07:30:00,8035,0,0,0
15335376,07:30:00,07:30:00,7840,1,0,0
15335376,07:31:00,07:31:00,8033,2,0,0
15335376,07:42:00,07:42:00,339,3,0,0
15335376,07:44:00,07:44:00,337,4,0,0
15335376,07:45:00,07:45:00,335,5,0,0
15335376,07:46:00,07:46:00,333,6,0,0
15335376,07:50:00,07:50:00,326,7,0,0
15335376,07:52:00,07:52:00,322,8,0,0
15335376,07:54:00,07:54:00,3,9,0,0
15335377,07:54:00,07:54:00,3,0,0,0
15335377,07:55:00,07:55:00,2702,1,0,0
15335377,07:57:00,07:57:00,53,2,0,0
15335377,08:00:00,08:00:00,7842,3,0,0
15335377,08:00:00,08:00:00,321,4,0,0
15335377,08:03:00,08:03:00,325,5,0,0
15335377,08:07:00,08:07:00,332,6,0,0
15335377,08:08:00,08:08:00,334,7,0,0
15335377,08:09:00,08:09:00,336,8,0,0
15335377,08:11:00,08:11:00,338,9,0,0
15335377,08:13:00,08:13:00,340,10,0,0
15335377,08:32:00,08:32:00,8036,11,0,0
15335377,08:35:00,08:35:00,8035,12,0,0
15335378,09:40:00,09:40:00,8035,0,0,0
