route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
9990011,20891,15335374,Ministry of Fin.,9990011,0
9990012,20891,15335375,GSP,9990012,1
9990011,20891,15335376,Ministry of Fin.,9990011,0
9990012,20891,15335377,GSP,9990012,1
9990011,20891,15335378,Ministry of Fin.,9990011,0
9990012,20891,15335379,GSP,9990012,1
9990011,20891,15335380,Ministry of Fin.,9990011,0
9990012,20891,15335381,GSP,9990012,1
9990011,20891,15335382,Ministry of Fin.,9990011,0
9990012,20891,15335383,GSP,9990012,1
9990011,20891,15335384,Ministry of Fin.,9990011,0
9990012,20891,15335385,GSP,9990012,1
9990011,20891,15335386,Ministry of Fin.,9990011,0
9990012,20891,15335387,GSP,9990012,1
9990011,20891,15335388,Ministry of Fin.,9990011,0
9990012,20891,15335389,GSP,9990012,1
9990011,20891,15335390,Ministry of Fin.,9990011,0
9990012,20891,15335391,GSP,9990012,1
9990011,20891,15335392,Ministry of Fin.,9990011,0
9990012,20891,15335393,GSP,9990012,1
9990011,20891,15335394,Ministry of Fin.,9990011,0
9990012,20891,15335395,GSP,9990012,1
9990011,20891,15335396,Ministry of Fin.,9990011,0
9990012,20891,15335397,GSP,9990012,1
9990011,20891,15335398,Ministry of Fin.,9990011,0
9990012,20891,15335399,GSP,9990012,1
9990011,20891,15335400,Ministry of Fin.,9990011,0
9990012,20891,15335401,GSP,9990012,1
9990011,20891,15335402,Ministry of Fin.,9990011,0
9990012,20891,15335403,GSP,9990012,1
9990011,20891,15335404,Ministry of Fin.,9990011,0
9990012,20891,15335405,GSP,9990012,1
9990011,20891,15335406,Ministry of Fin.,9990011,0
9990012,20891,15335407,GSP,9990012,1
9990011,20891,15335408,Ministry of Fin.,9990011,0
9990012,20891,15335409,GSP,9990012,1
9990011,20891,15335410,Ministry of Fin.,9990011,0
9990012,20891,15335411,GSP,9990012,1
9990011,20891,15335412,Ministry of Fin.,9990011,0
9990012,20891,15335413,GSP,9990012,1
9990011,20891,15335414,Ministry of Fin.,9990011,0
9990012,20891,15335415,GSP,9990012,1
9990011,20891,15335416,Ministry of Fin.,9990011,0
9990012,20891,15335417,GSP,9990012,1
9990011,20891,15335418,Ministry of Fin.,9990011,0
9990012,20891,15335419,GSP,9990012,1
9990011,20891,15335420,Ministry of Fin.,9990011,0
9990011,20891,15335421,Ministry of Fin.,9990011,0
9990012,20891,15335422,GSP,9990012,1
9990011,20891,15335423,Ministry of Fin.,9990011,0
9990012,20891,15335424,GSP,9990012,1
9990011,20891,15335425,Ministry of Fin.,9990011,0
9990012,20891,15335426,GSP,9990012,1
9990011,20891,15335427,Ministry of Fin.,9990011,0
9990012,20891,15335428,GSP,9990012,1
9990011,20891,15335429,Ministry of Fin.,9990011,0
9990012,20891,15335430,GSP,9990012,1
9990011,20891,15335431,Ministry of Fin.,9990011,0
9990011,20891,15335432,Ministry of Fin.,9990011,0
9990012,20891,15335433,GSP,9990012,1
9990011,20891,15335434,Ministry of Fin.,9990011,0
9990012,20891,15335435,GSP,9990012,1
9990012,20891,15335436,GSP,9990012,1
9990011,20891,15335437,Ministry of Fin.,9990011,0
9990012,20891,15335438,GSP,9990012,1
9990011,20891,15335439,Ministry of Fin.,9990011,0
9990012,20891,15335440,GSP,9990012,1
9990011,20891,15335441,Ministry of Fin.,9990011,0
9990012,20891,15335442,GSP,9990012,1
9990012,20891,15335443,GSP,9990012,1
9990011,20891,15335444,Ministry of Fin.,9990011,0
9990012,20891,15335445,GSP,9990012,1
9990011,20891,15335446,Ministry of Fin.,9990011,0
9990012,20891,15335447,GSP,9990012,1
9990011,20891,15335448,Ministry of Fin.,9990011,0
9990012,20891,15335449,GSP,9990012,1
9990011,20891,15335450,Ministry of Fin.,9990011,0
9990012,20891,15335451,GSP,9990012,1
9990011,20891,15335452,Ministry of Fin.,9990011,0
9990012,20891,15335453,GSP,9990012,1
