route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
20000011,10,430,Larnaca Station - Airport - Kiti - Pervolia,,3,CCCC00,000000
20000012,10,430,Pervolia - Kiti - Airport - Larnaca station,,3,CCCC00,000000
20000021,10,430,Larnaca Station - Pervo,,3,CCCC00,000000
20000031,10,430,Larnaca - Pervolia,,3,CCCC00,000000
20000032,10,430,Pevolia,,3,CCCC00,000000
20010011,10,417,Larnaca Station - Aradippou,,3,1C8600,FFFFFF
20010012,10,417,Aradippou - Larnaca Station,,3,1C8600,FFFFFF
20010021,10,417,Larnaca Station - Industrial Area - Aradippou,,3,1C8600,FFFFFF
20010022,10,417,Aradippou - Industrial Area - Larnaca Station,,3,1C8600,FFFFFF
20030011,10,431,Larnaca Station-Airport -  Meneou - Dromolaxia,,3,CC00E0,FFFFFF
20030012,10,431,Dromolaxia - Meneou - Airport - Larnaca St.,,3,CC00E0,FFFFFF
20040011,10,418,Larnaca Station - Lividia - Kellia - Troulloi,,3,33CC33,000000
20040012,10,418,Troulloi - Kellia - Livadia - Larnaca Station,,3,33CC33,000000
20050011,10,419,Larnaca Station - Oroklini,,3,FF33CC,FFFFFF
20050012,10,419,Oroklini - Larnaca Station,,3,FF33CC,FFFFFF
20050022,10,419,Oroklini - Larnaca Station,,3,FF33CC,FFFFFF
20060011,10,432,Larnaca Station - Airport - Dromoloxia - Kiti - Tersefanou,,3,FF0000,FFFFFF
20060012,10,432,Tersefanou - Kiti - Dromolaxia - Airport - Larnaca Station,,3,FF0000,FFFFFF
20070011,10,420,Larnaca Station - Kamares - Kalo Chorio,,3,D6AA80,000000
20070012,10,420,Kalo Chorio - Kamares - Larnaca Station,,3,D6AA80,000000
20070021,10,420,Larnaca Station - Kamares - Kalo Chorio,,3,D6AA80,000000
20070022,10,420,Kalo Chorio - Kamares - (Lyceem) - Larnaca Station,,3,D6AA80,000000
20070041,10,420,Larnaka - Kalo Chorio,,3,D6AA80,000000
20070042,10,420,Kalo Chorio - Larnaka,,3,D6AA80,000000
20080011,10,421,Larnaca Station - Fire Station - Kamares,,3,FF80C0,000000
20080012,10,421,Kamares - Fire Station - Larnaca Station,,3,FF80C0,000000
20080021,10,421,Larnaca Station - Kamares - Free Trade Zone - Larnaca Station,,3,FF80C0,000000
20080031,10,421,Larnaca Station - Kamares - Free Trade Zone - Larnaca Station,,3,FF80C0,000000
20090011,10,422,Larnaca St. -New Hospital - Vergina ,,3,CC6600,000000
20090012,10,422,Kamares 2 -Zinonas -Vergina -New Hospital - Larnaca St.,,3,CC6600,000000
20090022,10,422,Kamares 2 -Zinonas-Vergina-New Hospital - Larnaca St.,,3,CC6600,000000
20090032,10,422,Kamares 2 - Zinonas - Vergina - New Hospital - Larnaca Station,,3,CC6600,000000
20100011,10,418L,Larnaca Station - Chrysopolitissa -  Αg. Anargyroi - Livadia,,3,004000,FFFFFF
20100012,10,418L,Livadia - Ag. Anargyroi - Chrysopolotissa - Larnaca,,3,004000,FFFFFF
20100021,10,418L,Larnaca Station - Chrysopolitissa - Ag. Anargyroi-Livadia-Larnaca Station,,3,004000,FFFFFF
20110011,10,423,Larnaca Station- Faneromeni - Drosia Area -Mall,,3,FF80FF,000000
20110012,10,423,New Hospital - Drosia Area - Faneromeni - Larnaca Station,,3,FF80FF,000000
20120011,10,424,Larnaca St.- Old Hospital-CTO - Pyla,,3,94462C,FFFFFF
20120012,10,424,Pyla - CTO - Larnaca Station,,3,94462C,FFFFFF
20120021,10,424,Larnaca Station -  Old Hospital-CTO - Pyla,,3,94462C,FFFFFF
