route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
40230011,20881,15326869,AGIA NAPA,40230011,0
40240011,20881,15326870,AGIA NAPA,40240011,0
40070011,20881,15326871,PARALIMNI,40070011,0
40110011,20881,15326872,KONNOS,40110011,0
40110012,20881,15326873,XYLOTYMPOU,40110012,1
40010011,20881,15326874,AG. NAPA (W/PARK),40010011,0
40150011,20881,15326875,LARNAKA,40150011,0
40150012,20881,15326876,CENTRAL BUS ST.,40150012,1
40100011,20881,15326877,AGIA NAPA,40100011,0
40100012,20881,15326878,DASAKI ACHNAS,40100012,1
40100011,20881,15326879,AGIA NAPA,40100011,0
40120011,20881,15326880,KONNOS,40120011,0
40130011,20881,15326881,AGIA NAPA,40130011,0
40080011,20881,15326882,KONNOS,40080011,0
40080012,20881,15326883,E.A.C. DHEKELIA,40080012,1
40080011,20881,15326884,KONNOS,40080011,0
40180011,20881,15326885,AGIA THEKLA BEACH,40180011,0
40140011,20881,15326886,AGIA NAPA,40140011,0
40140012,20881,15326887,DERYNEIA,40140012,1
40280011,20881,15326888,LARNAKA,40280011,0
40160011,20881,15326889,LARNAKA,40160011,0
40160012,20881,15326890,PARALIMNI SQ. BUS,40160012,1
40180011,20881,15326891,AGIA THEKLA BEACH,40180011,0
40040011,20881,15326892,DERYNEIA,40040011,0
40040011,20881,15326893,DERYNEIA,40040011,0
40250012,20881,15326894,XYLOFAGOU,40250012,1
40200011,20881,15326895,KONNOS,40200011,0
40210011,20881,15326896,KONNOS,40210011,0
40110011,20881,15326897,KONNOS,40110011,0
40010011,20881,15326898,AG. NAPA (W/PARK),40010011,0
40010011,20881,15326899,AG. NAPA (W/PARK),40010011,0
40010011,20881,15326900,AG. NAPA (W/PARK),40010011,0
40000011,20881,15326901,PARALIMNI,40000011,0
40000011,20881,15326902,PARALIMNI,40000011,0
40000011,20881,15326903,PARALIMNI,40000011,0
40000011,20881,15326904,PARALIMNI,40000011,0
40000011,20881,15326905,PARALIMNI,40000011,0
40000011,20881,15326906,PARALIMNI,40000011,0
40230011,20881,15326907,AGIA NAPA,40230011,0
40070011,20881,15326908,PARALIMNI,40070011,0
40240011,20881,15326909,AGIA NAPA,40240011,0
40130011,20881,15326910,AGIA NAPA,40130011,0
40130012,20881,15326911,STROVILIA,40130012,1
40130011,20881,15326912,AGIA NAPA,40130011,0
40080011,20881,15326913,KONNOS,40080011,0
40100011,20881,15326914,AGIA NAPA,40100011,0
40120011,20881,15326915,KONNOS,40120011,0
40260011,20881,15326916,GENERAL HOSPITAL,40260011,0
40260012,20881,15326917,XYLOFAGOU,40260012,1
40000011,20881,15326918,PARALIMNI,40000011,0
40000011,20881,15326919,PARALIMNI,40000011,0
40000011,20881,15326920,PARALIMNI,40000011,0
40020011,20881,15326921,WEST CIRCLE LINE,40020011,0
40020011,20881,15326922,WEST CIRCLE LINE,40020011,0
