service_id,date,exception_type
20891,20250602,1
20891,20250603,1
20891,20250604,1
20891,20250605,1
20891,20250606,1
20891,20250609,1
20891,20250825,1
20891,20250826,1
20891,20250827,1
20891,20250828,1
20891,20250829,1
20891,20250815,1
20891,20250818,1
20891,20250819,1
20891,20250820,1
20891,20250821,1
20891,20250822,1
20891,20250807,1
20891,20250808,1
20891,20250811,1
20891,20250812,1
20891,20250813,1
20891,20250814,1
20891,20250730,1
20891,20250731,1
20891,20250801,1
20891,20250804,1
20891,20250805,1
20891,20250806,1
20891,20250722,1
20891,20250723,1
20891,20250724,1
20891,20250725,1
20891,20250728,1
20891,20250729,1
20891,20250714,1
20891,20250715,1
20891,20250716,1
20891,20250717,1
20891,20250718,1
20891,20250721,1
20891,20250704,1
20891,20250707,1
20891,20250708,1
20891,20250709,1
20891,20250710,1
20891,20250711,1
20891,20250626,1
20891,20250627,1
20891,20250630,1
20891,20250701,1
20891,20250702,1
20891,20250703,1
20891,20250618,1
20891,20250619,1
20891,20250620,1
20891,20250623,1
20891,20250624,1
20891,20250625,1
20891,20250610,1
20891,20250611,1
20891,20250612,1
20891,20250613,1
20891,20250616,1
20891,20250617,1
