route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
30330011,20843,15295637,POLIS CHRYSOCHOUS,30330011,0
30330011,20843,15295638,POLIS CHRYSOCHOUS,30330011,0
30120011,20843,15295639,PAFOS AIRPORT,30120011,0
30120012,20843,15295640,KARAVELLA ST.,30120012,1
30350011,20843,15295641,KARAVELLA ST.,30350011,0
30350032,20843,15295642,POLIS CHRYSOCHOUS,30350032,1
30350011,20843,15295643,KARAVELLA ST.,30350011,0
30350012,20843,15295644,POLIS CHRYSOCHOUS,30350012,1
30350011,20843,15295645,KARAVELLA ST.,30350011,0
30350012,20843,15295646,POLIS CHRYSOCHOUS,30350012,1
30000022,20843,15295647,KARAVELLA ST.,30000022,1
30000021,20843,15295648,MANDRIA,30000021,0
30000012,20843,15295649,KARAVELLA ST.,30000012,1
30000021,20843,15295650,MANDRIA,30000021,0
30130012,20843,15295651,KARAVELLA ST.,30130012,1
30340011,20843,15295652,POLIS CHRYSOCHOUS,30340011,0
30240011,20843,15295653,AGIOS NIKOLAOS,30240011,0
30240012,20843,15295654,KARAVELLA ST.,30240012,1
30240011,20843,15295655,AGIOS NIKOLAOS,30240011,0
30240012,20843,15295656,KARAVELLA ST.,30240012,1
30060011,20843,15295657,PEGEIA-AKOURSOS,30060011,0
30060012,20843,15295658,KARAVELLA ST.,30060012,1
30360011,20843,15295659,GIOLOU,30360011,0
30360012,20843,15295660,POLIS CHRYSOCHOUS,30360012,1
30360011,20843,15295661,GIOLOU,30360011,0
30170011,20843,15295662,APHRODITE BATHS,30170011,0
30170012,20843,15295663,POLIS CHRYSOCHOUS,30170012,1
30170011,20843,15295664,APHRODITE BATHS,30170011,0
30170012,20843,15295665,POLIS CHRYSOCHOUS,30170012,1
30170011,20843,15295666,APHRODITE BATHS,30170011,0
30170012,20843,15295667,POLIS CHRYSOCHOUS,30170012,1
30090012,20843,15295668,HARBOUR STATION,30090012,1
30090021,20843,15295669,MUN MARKET ST,30090021,0
30090012,20843,15295670,HARBOUR STATION,30090012,1
30090011,20843,15295671,MUN MARKET ST,30090011,0
30090012,20843,15295672,HARBOUR STATION,30090012,1
30090011,20843,15295673,MUN MARKET ST,30090011,0
30090012,20843,15295674,HARBOUR STATION,30090012,1
30090011,20843,15295675,MUN MARKET ST,30090011,0
30090012,20843,15295676,HARBOUR STATION,30090012,1
30090011,20843,15295677,MUN MARKET ST,30090011,0
30090012,20843,15295678,HARBOUR STATION,30090012,1
30090011,20843,15295679,MUN MARKET ST,30090011,0
30090012,20843,15295680,HARBOUR STATION,30090012,1
30090011,20843,15295681,MUN MARKET ST,30090011,0
30090012,20843,15295682,HARBOUR STATION,30090012,1
30090011,20843,15295683,MUN MARKET ST,30090011,0
30090012,20843,15295684,HARBOUR STATION,30090012,1
30090011,20843,15295685,MUN MARKET ST,30090011,0
30090012,20843,15295686,HARBOUR STATION,30090012,1
30090011,20843,15295687,MUN MARKET ST,30090011,0
30090012,20843,15295688,HARBOUR STATION,30090012,1
30090012,20843,15295689,HARBOUR STATION,30090012,1
30090011,20843,15295690,MUN MARKET ST,30090011,0
30090012,20843,15295691,HARBOUR STATION,30090012,1
30020011,20843,15295692,TOMBS OF KINGS ST,30020011,0
30020012,20843,15295693,TOWN CENTER,30020012,1
30020011,20843,15295694,TOMBS OF KINGS ST,30020011,0
30020012,20843,15295695,TOWN CENTER,30020012,1
30020011,20843,15295696,TOMBS OF KINGS ST,30020011,0
30020012,20843,15295697,TOWN CENTER,30020012,1
30020011,20843,15295698,TOMBS OF KINGS ST,30020011,0
30020012,20843,15295699,TOWN CENTER,30020012,1
30020011,20843,15295700,TOMBS OF KINGS ST,30020011,0
30020012,20843,15295701,TOWN CENTER,30020012,1
30020011,20843,15295702,TOMBS OF KINGS ST,30020011,0
30020012,20843,15295703,TOWN CENTER,30020012,1
30140011,20843,15295704,CORAL BAY,30140011,0
30160011,20843,15295705,TOMBS OF KINGS ST,30160011,0
30050012,20843,15295706,GEROSKIPOU (PAF.),30050012,1
