route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
100011,9,10,Makario Stadium -  Kok/thia - Makario Stadium,,3,800000,FFFFFF
110011,9,11,Isokratous - Makario Stadium - Solomou Sq.,,3,BF8F00,000000
110012,9,11,Solomou Sq. - Makario Stadium - Isokratous,,3,BF8F00,000000
120011,9,12,Al. Panagouli - Makario Stadium - Solomou Sq.,,3,99CC00,000000
120012,9,12,Solomou Sq. - Makario Stadium - Al. Panagouli,,3,99CC00,000000
130011,9,13,Makario Stadium - Solomou Sq.,,3,996600,FFFFFF
130012,9,13,Solomou Sq. - Makario Stadium,,3,996600,FFFFFF
130021,9,13,Makario Stadium - Solomou Sq,,3,996600,FFFFFF
130022,9,13,Solomou Sq - Makario Stadium,,3,996600,FFFFFF
140011,9,14,Makario Stadium - Europ. Univ. - Solomou Sq.,,3,993366,FFFFFF
140012,9,14,Solomou Sq. - European Univ. - Makario Stadium,,3,993366,FFFFFF
150011,9,15,Lakatameia - Archangelos - Makario Stadium,,3,FB4040,000000
150012,9,15,Makario Stadium - Archangelos - Lakatameia,,3,FB4040,000000
160011,9,16,Makario Stadium - Nicosia Mall,,3,FF8000,000000
160012,9,16,Nicosia Mall - Makario Stadium,,3,FF8000,000000
170021,9,17,Anthoupoli - Archangel Michael (via UNDERPASS) - Makario Stadium ,,3,BDCD24,000000
170022,9,17,Makario Stadium - Archangel Michael - TECHNICAL SCHOOL - Anthoupoli,,3,BDCD24,000000
190011,9,19,Strovolos Station - Prodromou - Solomou Square,,3,832D7D,FFFFFF
190012,9,19,Solomou Square - Prodromou - Strovolos Station,,3,832D7D,FFFFFF
220021,9,22,Strovolos Station - P.Lakatamia - Strovolos Station,,3,009900,FFFFFF
230031,9,23,Strovolos - Salaminos/Tseri - Strovolos,,3,9966FF,FFFFFF
240011,9,24,Ouranou - Konstantinoupoleos - Strovolos Station,,3,FF99FF,000000
240012,9,24,Strovolou Station - Konstantinoupoleos - Ouranou,,3,FF99FF,000000
250011,9,25,Strovolos Station - Gen. Hospital Bus Station,,3,CC3399,FFFFFF
250012,9,25,Gen. Hospital Bus Station - Strovolos Station,,3,CC3399,FFFFFF
250021,9,25,Strovolos Station - General Hospital,,3,CC3399,FFFFFF
250022,9,25,General Hospital- Strovolos Station,,3,CC3399,FFFFFF
260011,9,26,Gen. Hospital - Solomos Square,,3,FB7011,000000
260012,9,26,Solomos Square -  Gen. Hospital,,3,FB7011,000000
270011,9,27,Strovolos Station - Gen. Hospital Bus Station,,3,FF3300,FFFFFF
270012,9,27,Gen. Hospital Bus Station - Strovolos Station,,3,FF3300,FFFFFF
280011,9,28,CYTA Headquarters - Tzon Kenendy - Solomou Square,,3,FF33CC,FFFFFF
280012,9,28,Solomou Square - Tzon Kenendy - CYTA Headquarters,,3,FF33CC,FFFFFF
280021,9,28,Solomou Square - CYTA Headquarters - Solomou Square,,3,FF33CC,FFFFFF
290011,9,29,Gen. Hospital - Cyprus Pedagogical Institute / University of Cyprus,,3,663300,FFFFFF
290012,9,29,Cyprus Pedagogical Institute / University of Cyprus -  Gen. Hospital,,3,663300,FFFFFF
290021,9,29,Gen. Hospital - Cyprus Pedagogigcal Instittue - Morningside School.,,3,663300,FFFFFF
290022,9,29,Morningside school - Cyprus Pedagogical  Institute - General Hospital,,3,663300,FFFFFF
310031,9,31,Solomou Square - Kantaras/Kaimakli - Solomou Square,,3,66CCFF,FFFFFF
320011,9,32,SOPAZ - John Kennedy Avenue - Stasinou Avenue - Solomos Square,,3,52DA10,000000
320012,9,32,Solomou square - Stasinou Avenue - John Kenedy Avenue - SOPAZ,,3,52DA10,000000
330011,9,33,University of Cyprus / Aglantzia - Solomou Square,,3,6699FF,FFFFFF
330012,9,33,Solomou Square - University of Cyprus / Aglantzia,,3,6699FF,FFFFFF
360011,9,36,Geriou - Gen. Hospital Bus Station,,3,AC00AC,FFFFFF
360012,9,36,Gen. Hospital Bus Station - Geriou,,3,AC00AC,FFFFFF
